target,feature,corr,n
car_simple_m1_p1_pct,news__nw_lm_lit_prop__pre,-0.024686878093365137,400
car_simple_m1_p1_pct,tr__tr_lm_pos_prop__prepared__all,-0.023579171044921587,400
car_simple_m1_p1_pct,news__nw_lm_constr_prop__post_minus_pre,-0.02241932033274434,400
car_simple_m1_p1_pct,tr__tr_lm_neg_prop__all__all,0.018042571241948496,400
car_simple_m1_p1_pct,tr__tr_lm_tone__qa__all,0.015603863583595067,400
car_simple_m1_p1_pct,tr__tr_lm_neg_prop__qa__all,0.015588525851821555,400
car_simple_m1_p1_pct,news__nw_lm_unc_prop__all,-0.013778071741893185,400
car_simple_m1_p1_pct,news__nw_lm_lit_prop__post_minus_pre,-0.011556923697738437,400
car_simple_m1_p1_pct,tr__tr_lm_constr_prop__all__all,-0.008063243816683127,400
car_simple_m1_p1_pct,tr__tr_lm_tone__all__all,-0.006051937620127412,400
car_simple_m1_p1_pct,tr__tr_lm_pos_prop__all__all,0.0037325614891881983,400
car_mm_1y_m1_p1_pct,news__nw_lm_tone__post,0.27103144225306924,400
car_mm_1y_m1_p1_pct,news__nw_lm_neg_prop__post,-0.25853698041190826,400
car_mm_1y_m1_p1_pct,news__nw_lm_neg_prop__post_minus_pre,-0.21994724470470645,400
car_mm_1y_m1_p1_pct,news__nw_lm_tone__post_minus_pre,0.21329013819063683,400
car_mm_1y_m1_p1_pct,news__nw_lm_tone__all,0.2016830377775769,400
car_mm_1y_m1_p1_pct,news__nw_lm_neg_prop__all,-0.1701971654868563,400
car_mm_1y_m1_p1_pct,news__nw_lm_pos_prop__all,0.1684604420063352,400
car_mm_1y_m1_p1_pct,news__nw_lm_pos_prop__post,0.16212493923109225,400
car_mm_1y_m1_p1_pct,news__nw_lm_pos_prop__pre,0.08688876730112488,400
car_mm_1y_m1_p1_pct,news__nw_lm_tone__pre,0.07752876046215225,400
car_mm_1y_m1_p1_pct,news__nw_lm_pos_prop__post_minus_pre,0.07254084021499144,400
car_mm_1y_m1_p1_pct,tr__tr_lm_unc_prop__all__all,-0.07244008734607735,400
