y_type,window,feature,corr,abs_corr
ret_pct,m5_p5,gro_growthWeightedAverageShsOutDil,0.02,0.02
ret_pct,m5_p5,gro_growthEBIT,-0.051,0.051
ret_pct,m5_p5,gro_growthNonOperatingIncomeExcludingInterest,-0.072,0.072
ret_pct,m5_p5,gro_growthNetInterestIncome,0.038,0.038
ret_pct,m5_p5,gro_growthTotalOtherIncomeExpensesNet,0.01,0.01
ret_pct,m5_p5,gro_growthNetIncomeFromContinuingOperations,0.069,0.069
ret_pct,m5_p5,gro_growthOtherAdjustmentsToNetIncome,-0.034,0.034
ret_pct,m5_p5,gro_growthNetIncomeDeductions,0.048,0.048
ret_pct,m5_p5,est_revenueLow,-0.097,0.097
ret_pct,m5_p5,est_revenueHigh,-0.096,0.096
ret_pct,m5_p5,est_revenueAvg,-0.096,0.096
ret_pct,m5_p5,est_ebitdaLow,-0.042,0.042
ret_pct,m5_p5,est_ebitdaHigh,-0.038,0.038
ret_pct,m5_p5,est_ebitdaAvg,-0.04,0.04
ret_pct,m5_p5,est_ebitLow,-0.071,0.071
ret_pct,m5_p5,est_ebitHigh,-0.065,0.065
ret_pct,m5_p5,est_ebitAvg,-0.067,0.067
ret_pct,m5_p5,est_netIncomeLow,-0.041,0.041
ret_pct,m5_p5,est_netIncomeHigh,-0.033,0.033
ret_pct,m5_p5,est_netIncomeAvg,-0.037,0.037
ret_pct,m5_p5,est_sgaExpenseLow,-0.041,0.041
ret_pct,m5_p5,est_sgaExpenseHigh,-0.044,0.044
ret_pct,m5_p5,est_sgaExpenseAvg,-0.043,0.043
ret_pct,m5_p5,est_epsAvg,-0.028,0.028
ret_pct,m5_p5,est_epsHigh,-0.019,0.019
ret_pct,m5_p5,est_epsLow,-0.034,0.034
ret_pct,m5_p5,est_numAnalystsRevenue,0.028,0.028
ret_pct,m5_p5,est_numAnalystsEps,-0.002,0.002
ret_pct,p0_p1,px_-5,-0.029,0.029
ret_pct,p0_p1,px_-1,-0.032,0.032
ret_pct,p0_p1,px_+0,-0.024,0.024
ret_pct,p0_p1,px_+1,0.004,0.004
ret_pct,p0_p1,px_+5,0.005,0.005
ret_pct,p0_p1,px_+10,0.006,0.006
ret_pct,p0_p1,logpct_m5_p5,0.353,0.353
ret_pct,p0_p1,logpct_m1_p1,0.422,0.422
ret_pct,p0_p1,logpct_p0_p1,1.0,1.0
ret_pct,p0_p1,logpct_p0_p5,0.551,0.551
ret_pct,p0_p1,logpct_p0_p10,0.407,0.407
ret_pct,p0_p1,sur_quarter_rank,0.007,0.007
ret_pct,p0_p1,sur_actual_revenue,-0.11,0.11
ret_pct,p0_p1,sur_actual_ebitda,-0.111,0.111
ret_pct,p0_p1,sur_actual_ebit,-0.124,0.124
ret_pct,p0_p1,sur_actual_netIncome,-0.126,0.126
ret_pct,p0_p1,sur_actual_eps,-0.027,0.027
ret_pct,p0_p1,sur_est_revenue,-0.112,0.112
ret_pct,p0_p1,sur_est_ebitda,-0.089,0.089
ret_pct,p0_p1,sur_est_ebit,-0.117,0.117
ret_pct,p0_p1,sur_est_netIncome,-0.107,0.107
ret_pct,p0_p1,sur_est_eps,0.009,0.009
ret_pct,p0_p1,sur_surprise_revenue,0.009,0.009
ret_pct,p0_p1,sur_surprise_revenue_pct,0.014,0.014
ret_pct,p0_p1,sur_surprise_ebitda,-0.032,0.032
ret_pct,p0_p1,sur_surprise_ebitda_pct,0.041,0.041
ret_pct,p0_p1,sur_surprise_ebit,-0.052,0.052
