ticker,event_date,phase,publisher,n_units
AAPL,2022-07-28,post,benzinga.com,2
AAPL,2022-07-28,post,businessinsider.com,2
AAPL,2022-07-28,post,businesswire.com,2
AAPL,2022-07-28,post,cnbc.com,10
AAPL,2022-07-28,post,cnet.com,2
AAPL,2022-07-28,post,cnn.com,2
AAPL,2022-07-28,post,fool.com,26
AAPL,2022-07-28,post,forbes.com,2
AAPL,2022-07-28,post,foxbusiness.com,1
AAPL,2022-07-28,post,gurufocus.com,2
AAPL,2022-07-28,post,investorplace.com,8
AAPL,2022-07-28,post,investors.com,12
AAPL,2022-07-28,post,invezz.com,2
AAPL,2022-07-28,post,marketbeat.com,3
AAPL,2022-07-28,post,marketwatch.com,8
AAPL,2022-07-28,post,news.sky.com,1
AAPL,2022-07-28,post,proactiveinvestors.co.uk,1
AAPL,2022-07-28,post,pymnts.com,3
AAPL,2022-07-28,post,reuters.com,6
AAPL,2022-07-28,post,schaeffersresearch.com,1
AAPL,2022-07-28,post,seeitmarket.com,1
AAPL,2022-07-28,post,seekingalpha.com,11
AAPL,2022-07-28,post,stockmarket.com,1
AAPL,2022-07-28,post,techcrunch.com,1
AAPL,2022-07-28,post,techxplore.com,2
AAPL,2022-07-28,post,thedogofwallstreet.com,1
AAPL,2022-07-28,post,theguardian.com,2
AAPL,2022-07-28,post,wsj.com,1
AAPL,2022-07-28,post,zacks.com,6
AAPL,2022-07-28,pre,barrons.com,5
AAPL,2022-07-28,pre,benzinga.com,5
AAPL,2022-07-28,pre,businesswire.com,7
AAPL,2022-07-28,pre,cnbc.com,8
AAPL,2022-07-28,pre,cnet.com,3
AAPL,2022-07-28,pre,cnn.com,2
AAPL,2022-07-28,pre,deadline.com,1
AAPL,2022-07-28,pre,etftrends.com,1
AAPL,2022-07-28,pre,fool.com,25
AAPL,2022-07-28,pre,forbes.com,3
AAPL,2022-07-28,pre,foxbusiness.com,2
AAPL,2022-07-28,pre,gurufocus.com,1
AAPL,2022-07-28,pre,investopedia.com,1
AAPL,2022-07-28,pre,investorplace.com,12
AAPL,2022-07-28,pre,investors.com,3
AAPL,2022-07-28,pre,invezz.com,2
AAPL,2022-07-28,pre,marketbeat.com,2
AAPL,2022-07-28,pre,markets.businessinsider.com,2
AAPL,2022-07-28,pre,marketwatch.com,9
AAPL,2022-07-28,pre,nypost.com,1
AAPL,2022-07-28,pre,nytimes.com,2
AAPL,2022-07-28,pre,proactiveinvestors.com,1
AAPL,2022-07-28,pre,pymnts.com,7
AAPL,2022-07-28,pre,reuters.com,10
AAPL,2022-07-28,pre,schaeffersresearch.com,1
AAPL,2022-07-28,pre,seekingalpha.com,9
AAPL,2022-07-28,pre,techcrunch.com,3
AAPL,2022-07-28,pre,techxplore.com,1
AAPL,2022-07-28,pre,zacks.com,10
AAPL,2022-10-27,post,barrons.com,2
AAPL,2022-10-27,post,benzinga.com,12
AAPL,2022-10-27,post,businessinsider.com,5
AAPL,2022-10-27,post,businesswire.com,1
AAPL,2022-10-27,post,cnbc.com,10
AAPL,2022-10-27,post,cnet.com,1
AAPL,2022-10-27,post,cnn.com,6
AAPL,2022-10-27,post,deadline.com,2
AAPL,2022-10-27,post,fool.com,20
AAPL,2022-10-27,post,forbes.com,7
AAPL,2022-10-27,post,foxbusiness.com,4
AAPL,2022-10-27,post,geekwire.com,1
AAPL,2022-10-27,post,investorplace.com,5
AAPL,2022-10-27,post,investors.com,10
AAPL,2022-10-27,post,invezz.com,2
AAPL,2022-10-27,post,marketbeat.com,2
AAPL,2022-10-27,post,markets.businessinsider.com,2
AAPL,2022-10-27,post,marketwatch.com,13
AAPL,2022-10-27,post,nypost.com,1
AAPL,2022-10-27,post,nytimes.com,2
AAPL,2022-10-27,post,proactiveinvestors.ca,2
AAPL,2022-10-27,post,proactiveinvestors.co.uk,2
AAPL,2022-10-27,post,proactiveinvestors.com,1
AAPL,2022-10-27,post,reuters.com,8
AAPL,2022-10-27,post,schaeffersresearch.com,1
AAPL,2022-10-27,post,seekingalpha.com,14
AAPL,2022-10-27,post,stockmarket.com,2
AAPL,2022-10-27,post,techcrunch.com,2
AAPL,2022-10-27,post,techxplore.com,5
AAPL,2022-10-27,post,theguardian.com,2
AAPL,2022-10-27,post,wsj.com,2
AAPL,2022-10-27,post,zacks.com,7
AAPL,2022-10-27,pre,247wallst.com,3
AAPL,2022-10-27,pre,barrons.com,3
AAPL,2022-10-27,pre,benzinga.com,5
AAPL,2022-10-27,pre,businessinsider.com,7
AAPL,2022-10-27,pre,businesswire.com,12
AAPL,2022-10-27,pre,cnbc.com,26
AAPL,2022-10-27,pre,cnet.com,8
AAPL,2022-10-27,pre,cnn.com,7
AAPL,2022-10-27,pre,deadline.com,1
AAPL,2022-10-27,pre,finbold.com,1
AAPL,2022-10-27,pre,fool.com,20
AAPL,2022-10-27,pre,forbes.com,4
AAPL,2022-10-27,pre,foxbusiness.com,3
AAPL,2022-10-27,pre,gurufocus.com,1
AAPL,2022-10-27,pre,investopedia.com,1
AAPL,2022-10-27,pre,investorplace.com,8
AAPL,2022-10-27,pre,investors.com,6
AAPL,2022-10-27,pre,marketwatch.com,16
AAPL,2022-10-27,pre,news.sky.com,1
AAPL,2022-10-27,pre,nypost.com,1
AAPL,2022-10-27,pre,nytimes.com,2
AAPL,2022-10-27,pre,proactiveinvestors.ca,1
