ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2024-02-21,2024-03-04,7,0.03595084532893211,3.5950845328932113
NVDA,2024-02-21,2024-03-05,8,0.008576690481303828,0.8576690481303828
NVDA,2024-02-21,2024-03-06,9,0.03182717325199347,3.182717325199347
NVDA,2024-02-21,2024-03-07,10,0.04474629346692183,4.474629346692183
NVDA,2024-05-22,2024-05-09,-10,,
NVDA,2024-05-22,2024-05-10,-9,0.012744106795661292,1.2744106795661292
NVDA,2024-05-22,2024-05-13,-8,0.005796773055493976,0.5796773055493976
NVDA,2024-05-22,2024-05-14,-7,0.010586405033431445,1.0586405033431445
NVDA,2024-05-22,2024-05-15,-6,0.03583782833510529,3.5837828335105293
NVDA,2024-05-22,2024-05-16,-5,-0.002863752971581368,-0.2863752971581368
NVDA,2024-05-22,2024-05-17,-4,-0.019924091840831548,-1.9924091840831548
NVDA,2024-05-22,2024-05-20,-3,0.02488158494786541,2.488158494786541
NVDA,2024-05-22,2024-05-21,-2,0.006393581661300107,0.6393581661300107
NVDA,2024-05-22,2024-05-22,-1,-0.0045708814731811875,-0.45708814731811875
NVDA,2024-05-22,2024-05-23,0,0.09319652639212017,9.319652639212016
NVDA,2024-05-22,2024-05-24,1,0.02572273136618164,2.572273136618164
NVDA,2024-05-22,2024-05-28,2,0.06980439975970731,6.980439975970731
NVDA,2024-05-22,2024-05-29,3,0.008112188891018501,0.8112188891018501
NVDA,2024-05-22,2024-05-30,4,-0.03766599366987233,-3.7665993669872333
NVDA,2024-05-22,2024-05-31,5,-0.007846121219364233,-0.7846121219364233
NVDA,2024-05-22,2024-06-03,6,0.04895425855504554,4.895425855504554
NVDA,2024-05-22,2024-06-04,7,0.012495624135364647,1.2495624135364647
NVDA,2024-05-22,2024-06-05,8,0.05155584348290354,5.155584348290354
NVDA,2024-05-22,2024-06-06,9,-0.011777230973562758,-1.1777230973562758
NVDA,2024-05-22,2024-06-07,10,-0.0009090700906918547,-0.09090700906918547
NVDA,2024-08-28,2024-08-15,-10,,
NVDA,2024-08-28,2024-08-16,-9,0.01399958761521125,1.399958761521125
NVDA,2024-08-28,2024-08-19,-8,0.04350622532351034,4.350622532351034
NVDA,2024-08-28,2024-08-20,-7,-0.021153799861085676,-2.1153799861085676
NVDA,2024-08-28,2024-08-21,-6,0.009823008069265837,0.9823008069265837
NVDA,2024-08-28,2024-08-22,-5,-0.03704269965971985,-3.7042699659719847
NVDA,2024-08-28,2024-08-23,-4,0.04549852546677102,4.549852546677102
NVDA,2024-08-28,2024-08-26,-3,-0.022493487724259964,-2.2493487724259964
NVDA,2024-08-28,2024-08-27,-2,0.014550097372846515,1.4550097372846515
NVDA,2024-08-28,2024-08-28,-1,-0.020966493397957864,-2.0966493397957864
NVDA,2024-08-28,2024-08-29,0,-0.06384855578303827,-6.384855578303828
NVDA,2024-08-28,2024-08-30,1,0.015137450530342988,1.5137450530342988
NVDA,2024-08-28,2024-09-03,2,-0.09525005833035094,-9.525005833035094
NVDA,2024-08-28,2024-09-04,3,-0.016574108886960537,-1.6574108886960537
NVDA,2024-08-28,2024-09-05,4,0.009415314949457132,0.9415314949457132
NVDA,2024-08-28,2024-09-06,5,-0.040854345337253406,-4.085434533725341
NVDA,2024-08-28,2024-09-09,6,0.035398231402230085,3.5398231402230085
NVDA,2024-08-28,2024-09-10,7,0.01530940767779465,1.530940767779465
NVDA,2024-08-28,2024-09-11,8,0.08149866470811151,8.149866470811151
NVDA,2024-08-28,2024-09-12,9,0.019161690955033617,1.9161690955033617
NVDA,2024-08-28,2024-09-13,10,-0.00033579805174355215,-0.033579805174355215
NVDA,2024-11-20,2024-11-07,-10,,
NVDA,2024-11-20,2024-11-08,-9,-0.008396026886724917,-0.8396026886724917
NVDA,2024-11-20,2024-11-11,-8,-0.016053940080661522,-1.6053940080661522
NVDA,2024-11-20,2024-11-12,-7,0.020859246662034092,2.085924666203409
NVDA,2024-11-20,2024-11-13,-6,-0.013621916445548221,-1.3621916445548221
NVDA,2024-11-20,2024-11-14,-5,0.0033499017862350655,0.33499017862350655
NVDA,2024-11-20,2024-11-15,-4,-0.03257020188730464,-3.257020188730464
NVDA,2024-11-20,2024-11-18,-3,-0.012889159570676711,-1.2889159570676711
NVDA,2024-11-20,2024-11-19,-2,0.04894766506293746,4.894766506293746
NVDA,2024-11-20,2024-11-20,-1,-0.007618509484174751,-0.7618509484174751
NVDA,2024-11-20,2024-11-21,0,0.005346537802630502,0.5346537802630502
